accession	CONTRL_SAMPLE205	CONTRL_SAMPLE209	CONTRL_SAMPLE210	CONTRL_SAMPLE211	CONTRL_SAMPLE212	CONTRL_SAMPLE213	NR_SAMPLE198	NR_SAMPLE200	NR_SAMPLE201	NR_SAMPLE202	NR_SAMPLE203	NR_SAMPLE204
0	2230.037869	2224.361645	2110.694274	2122.532194	1958.639439	2153.496396	2587.918958	2261.775462	2222.234646	2504.882029	2342.610676	2306.796119
1	1978.17541	2032.405932	2016.013883	2253.188269	1893.034876	2061.516876	2474.160266	2175.105193	2112.649668	2105.079388	2278.559216	2036.463846
2	2065.810782	2038.250515	1960.353187	2262.139887	2042.948336	2012.57562	2252.614295	2326.650605	2196.671591	2214.635257	2248.910867	2227.617607
3	368.607552	377.9129964	422.961239	371.6833807	321.5881631	373.0679778	574.5814632	387.9177038	505.060423	582.1894084	559.737494	456.4758016
4	370.5610541	369.4653986	420.5689702	376.5996313	277.5928984	327.0008245	581.1724802	395.3936843	492.6073894	539.5300797	495.3535185	460.2061409
5	877.2495974	966.5148369	896.4102701	950.5045267	845.4511927	975.7759842	1173.820909	962.7176665	1007.661519	1090.591842	1112.039961	1047.561071
6	1018.939133	867.4990534	1075.082817	979.2499604	831.72566	1048.015159	1263.286068	1229.082281	1147.420061	1210.757036	1364.906194	1163.63881
7	768.9889791	714.7244993	727.9481667	670.693086	553.846882	761.5557509	951.6013079	810.8571083	754.5316261	841.5667711	905.3838482	848.6527127
8	748.9623578	561.060706	679.5439447	611.4868884	584.30932	723.3583887	904.5126503	739.3396644	649.5808693	812.8846345	899.7449552	765.6444703
9	2430.37365	2166.759444	2128.757616	2078.174917	1796.321925	2281.813361	2649.48485	2429.991274	2684.34545	2631.35261	2674.150374	2780.824801
10	1302.394272	1283.163831	1245.29118	1376.605962	1099.074191	1355.624172	1716.432091	1517.782999	1455.994176	1509.588001	1608.386195	1407.103383
11	3773.372518	3313.861534	3696.80885	3463.297782	3294.243314	3761.699306	3958.917362	3823.452644	3892.540406	3821.263949	4017.268183	4106.928722
12	970.1647099	1120.300422	1281.626894	1105.16	851.7408934	1040.646908	1347.974611	1102.135673	1088.503816	1248.610197	1396.09817	1217.438679
13	907.8826651	865.8191171	853.8396434	810.7133093	728.8240634	974.3756993	1044.424242	881.9889928	956.5761386	991.8558143	1088.880749	981.8891856
14	1335.747532	1260.854519	1330.057349	1120.451198	1294.605284	1281.346097	991.6911606	1201.958033	1043.491127	1148.933717	1105.030238	1139.122787
15	1087.091525	1220.693912	1172.041049	1176.107371	1049.647467	1239.071914	1479.371645	1186.577202	1279.200231	1361.140267	1305.424157	1258.276448
16	4792.870215	4649.176408	4924.165938	4930.192543	4511.220908	4665.309525	5192.731004	4680.318099	5323.96116	4930.643334	5196.599598	5263.723576
17	711.7862247	730.334694	574.0714285	303.8693877	623.7283165	435.1096937	41.22499998	491.0204084	33.77678572	451.025	154.5612245	419.3632653
18	1936.431447	1922.279654	2035.633672	1775.302685	1419.27645	2309.100108	2337.661116	2018.895859	2357.708533	2196.058357	2170.276045	2136.351607
19	259.3364022	148.2757897	244.3180722	159.4187686	196.9550425	171.7598447	289.3404294	342.5509057	502.8987975	329.3155206	369.8428376	255.9722398
20	697.6321876	542.677718	518.031223	514.7554701	395.9810403	661.2432155	1079.996471	781.3056366	721.4366144	703.6035902	737.6813573	623.9551793
21	626.6290221	614.4034024	622.2776198	540.9281212	545.1963117	597.5419281	926.4349868	688.6327806	823.1797054	735.2514394	823.997279	784.0007691
22	828.0216597	883.2623413	782.7156365	847.8654935	624.4229067	903.0408963	1369.132654	912.1359934	1047.027467	999.6112252	1109.084009	983.6656659
23	971.8284114	917.3792494	798.6678122	854.0155935	697.3776764	889.3235363	1398.215439	1046.035621	1030.294725	1024.877809	1007.691606	914.3674804
24	1477.486821	1368.344482	1545.816927	1553.492942	1428.402136	1528.022157	1842.249603	1463.196801	1738.933172	1573.235592	1694.702722	1822.290527
