sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
DE198_NR_End_FMT	DE198	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE198_S1_L002_R1_001.fastq.gz	DE198_S1_L002_R2_001.fastq.gz
DE200_NR_End_FMT	DE200	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE200_S2_L002_R1_001.fastq.gz	DE200_S2_L002_R2_001.fastq.gz
DE201_NR_End_FMT	DE201	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE201_S3_L002_R1_001.fastq.gz	DE201_S3_L002_R2_001.fastq.gz
DE202_NR_End_FMT	DE202	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE202_S4_L002_R1_001.fastq.gz	DE202_S4_L002_R2_001.fastq.gz
DE203_NR_End_FMT	DE203	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE203_S5_L002_R1_001.fastq.gz	DE203_S5_L002_R2_001.fastq.gz
DE204_NR_End_FMT	DE204	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE204_S6_L002_R1_001.fastq.gz	DE204_S6_L002_R2_001.fastq.gz
DE205_Control_End_FMT	DE205	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE205_S7_L002_R1_001.fastq.gz	DE205_S7_L002_R2_001.fastq.gz
DE209_Control_End_FMT	DE209	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE209_S8_L002_R1_001.fastq.gz	DE209_S8_L002_R2_001.fastq.gz
DE210_Control_End_FMT	DE210	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE210_S9_L002_R1_001.fastq.gz	DE210_S9_L002_R2_001.fastq.gz
DE211_Control_End_FMT	DE211	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE211_S10_L002_R1_001.fastq.gz	DE211_S10_L002_R2_001.fastq.gz
DE212_Control_End_FMT	DE212	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE212_S11_L002_R1_001.fastq.gz	DE212_S11_L002_R2_001.fastq.gz
DE213_Control_End_FMT	DE213	Metagenomics of fecal material translant experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE213_S12_L002_R1_001.fastq.gz	DE213_S12_L002_R2_001.fastq.gz
DE250_Control_End_Dietary	DE250	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE250_S13_L002_R1_001.fastq.gz	DE250_S13_L002_R2_001.fastq.gz
DE251_Control_End_Dietary	DE251	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE251_S14_L002_R1_001.fastq.gz	DE251_S14_L002_R2_001.fastq.gz
DE253_Control_End_Dietary	DE253	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE253_S15_L002_R1_001.fastq.gz	DE253_S15_L002_R2_001.fastq.gz
DE254_Control_End_Dietary	DE254	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE254_S16_L002_R1_001.fastq.gz	DE254_S16_L002_R2_001.fastq.gz
DE255_Control_End_Dietary	DE255	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE255_S17_L002_R1_001.fastq.gz	DE255_S17_L002_R2_001.fastq.gz
DE256_Control_End_Dietary	DE256	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE256_S18_L002_R1_001.fastq.gz	DE256_S18_L002_R2_001.fastq.gz
DE258_NR_End_Dietary	DE258	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE258_S19_L002_R1_001.fastq.gz	DE258_S19_L002_R2_001.fastq.gz
DE259_NR_End_Dietary	DE259	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE259_S20_L002_R1_001.fastq.gz	DE259_S20_L002_R2_001.fastq.gz
DE260_NR_End_Dietary	DE260	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE260_S21_L002_R1_001.fastq.gz	DE260_S21_L002_R2_001.fastq.gz
DE261_NR_End_Dietary	DE261	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE261_S22_L002_R1_001.fastq.gz	DE261_S22_L002_R2_001.fastq.gz
DE264_NR_End_Dietary	DE264	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE264_S23_L002_R1_001.fastq.gz	DE264_S23_L002_R2_001.fastq.gz
DE265_NR_End_Dietary	DE265	Metagenomics of dietary NR supplementation experiment	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Fecal samples were subjected to 2 x 150 paired-end shotgun metagenomics sequencing using the Illumina NovaSeq platform 	fastq	DE265_S24_L002_R1_001.fastq.gz	DE265_S24_L002_R2_001.fastq.gz
